क्क	kk
क्ख	kkh
क्ग	kg
क्घ	kgh
क्च	kch
क्ज	kj
क्झ	kjh
क्ट	kt
क्ठ	kth
क्ड	kd
क्ढ	kdh
क्ण	kn
क्त	kt
क्थ	kth
क्द	kd
क्ध	kdh
क्न	kn
क्प	kp
क्फ	kph
क्ब	kb
क्भ	kbh
क्म	km
क्य	ky
क्र	kr
क्ल	kl
क्व	kv
क्श	ksh
क्ष	ksh
क्स	ks
क्ह	kh
ख्क	khk
ख्ख	khkh
ख्ग	khg
ख्घ	khgh
ख्च	khch
ख्ज	khj
ख्झ	khjh
ख्ट	kht
ख्ठ	khth
ख्ड	khd
ख्ढ	khdh
ख्ण	khn
ख्त	kht
ख्थ	khth
ख्द	khd
ख्ध	khdh
ख्न	khn
ख्प	khp
ख्फ	khph
ख्ब	khb
ख्भ	khbh
ख्म	khm
ख्य	khy
ख्र	khr
ख्ल	khl
ख्व	khv
ख्श	khsh
ख्ष	khsh
ख्स	khs
ख्ह	khh
ग्क	gk
ग्ख	gkh
ग्ग	gg
ग्घ	ggh
ग्च	gch
ग्ज	gj
ग्झ	gjh
ग्ट	gt
ग्ठ	gth
ग्ड	gd
ग्ढ	gdh
ग्ण	gn
ग्त	gt
ग्थ	gth
ग्द	gd
ग्ध	gdh
ग्न	gn
ग्प	gp
ग्फ	gph
ग्ब	gb
ग्भ	gbh
ग्म	gm
ग्य	gy
ग्र	gr
ग्ल	gl
ग्व	gv
ग्श	gsh
ग्ष	gsh
ग्स	gs
ग्ह	gh
घ्क	ghk
घ्ख	ghkh
घ्ग	ghg
घ्घ	ghgh
घ्च	ghch
घ्ज	ghj
घ्झ	ghjh
घ्ट	ght
घ्ठ	ghth
घ्ड	ghd
घ्ढ	ghdh
घ्ण	ghn
घ्त	ght
घ्थ	ghth
घ्द	ghd
घ्ध	ghdh
घ्न	ghn
घ्प	ghp
घ्फ	ghph
घ्ब	ghb
घ्भ	ghbh
घ्म	ghm
घ्य	ghy
घ्र	ghr
घ्ल	ghl
घ्व	ghv
घ्श	ghsh
घ्ष	ghsh
घ्स	ghs
घ्ह	ghh
च्क	chk
च्ख	chkh
च्ग	chg
च्घ	chgh
च्च	chch
च्ज	chj
च्झ	chjh
च्ट	cht
च्ठ	chth
च्ड	chd
च्ढ	chdh
च्ण	chn
च्त	cht
च्थ	chth
च्द	chd
च्ध	chdh
च्न	chn
च्प	chp
च्फ	chph
च्ब	chb
च्भ	chbh
च्म	chm
च्य	chy
च्र	chr
च्ल	chl
च्व	chv
च्श	chsh
च्ष	chsh
च्स	chs
च्ह	chh
ज्क	jk
ज्ख	jkh
ज्ग	jg
ज्घ	jgh
ज्च	jch
ज्ज	jj
ज्झ	jjh
ज्ट	jt
ज्ठ	jth
ज्ड	jd
ज्ढ	jdh
ज्ण	jn
ज्त	jt
ज्थ	jth
ज्द	jd
ज्ध	jdh
