जे पी जी	jpg
जे पी ई जी	jpeg
पी एन जी	png
जी आई एफ	gif
पी डी एफ	pdf
डी ओ सी	doc
डी ओ सी एक्स	docx
एक्स एल एस	xls
एक्स एल एस एक्स	xlsx
पी पी टी	ppt
पी पी टी एक्स	pptx
सी एस वी	csv
टी एक्स टी	txt
एच टी एम एल	html
एच टी एम	htm
एक्स एम एल	xml
जे एस ओ एन	json
सी एस एस	css
जे एस	js
पी वाई	py
जावा	java
सी पी पी	cpp
ज़िप	zip
आर ए आर	rar
टी ए आर	tar
एम पी तीन	mp3
एम पी चार	mp4
ए वी आई	avi
एम के वी	mkv
एम ओ वी	mov
डब्ल्यू ए वी	wav
एस वी जी	svg
आई सी ओ	ico
ए पी के	apk
ई एक्स ई	exe
डी एम जी	dmg
आई एस ओ	iso
एस क्यू एल	sql
एल ओ जी	log
बी ए के	bak
जे पी जी	JPG
जे पी ई जी	JPEG
पी एन जी	PNG
पी डी एफ	PDF
डी ओ सी	DOC
डी ओ सी एक्स	DOCX
सी एस वी	CSV
टी एक्स टी	TXT
एच टी एम एल	HTML
एम पी तीन	MP3
एम पी चार	MP4
एस आर टी	srt
एल एन के	lnk
कॉन्फ	conf
वाई एम एल	yml
एम डी	md
एच	h
ए एस पी	asp
जे एस पी	jsp
पी एच पी	php
