आई ए तीन दो	ia32
एक्स आठ छह	x86
छह एस	6s
यू टी एफ आठ	utf8
ए एस सी आई आई आठ पाँच	Ascii85
पी एच आर ए सी के पाँच सात	phrack57
ज़ेड एक्स आठ शून्य	ZX80
ज़ेड एक्स आठ एक	ZX81
ज़ेड एक्स आठ शून्य एक नौ आठ शून्य	ZX80 1980
बी ए एस ई तीन दो	Base32
बी ई सी एच तीन दो	Bech32
सी ए एन ओ एन ए सात पाँच	Canon A75
आर ई डी एम आई एच चार चार चार जी	REDMI H44 4G
आई एन एन ओ टी ई एक	IN NOTE1
आई एन छह तीन आठ नौ शून्य नौ शून्य	IN6389090
आई एस बी एन आठ नौ शून्य चार तीन पाँच सात	ISBN8904357
आई एस बी एन छह सात आठ नौ शून्य दो दो चार	ISBN67890224
एन वाई नौ छह तीन दो नौ शून्य	NY963290
एम एम एक्स दो दो शून्य नौ शून्य आठ	MMX220908
ओ डी शून्य दो सात छह तीन पाँच	OD027635
पी आर तीन दो दो एक सात सात	PR322177
बी एच सात छह एस वाई एक सात आठ पाँच	BH76SY1785
ई एक्स आठ छह तीन दो जे यू दो पाँच चार	EX8632JU254
पाँच सी	5c
सात आई	7i
एक दो शून्य एम एम	120mm
एम के हाइफ़न एक ए	Mk-1A
एक नौ तीन पाँच आठ एम नौ	1 9358M9
छह दो दो छह शून्य एम छह	6 2260M6
सात नौ नौ छह पाँच एम छह	7 9965M6
एफ हाइफ़न तीन पाँच सी	F-35C
डॉट टी आर ए वी आई एस डॉट वाई एम एल	.travis.yml
एच आई पी ओ	Hipo
